country_or_territory,zone,region,subregion,life_expectancy,fertility_rate,num_colors,primary_color,secondary_color,most_ranked_color,currency_primary,currency_secondary,languages_primary,languages_secondary,religion_primary,religion_secondary,pop2023,density,hdiTier,area,landAreaKm,growthRate,hdi2021,densityMi,country_or_territory_status
Lebanon,NE,Asia,Western Asia,75,2,3,crimson,white,white,Lebanese pound,Lebanese pound,French,Arabic,Christianity,Islam,5353930.0,523.3558,High,10452.0,10230.0,-0.02474,0.706,1355.4916,Developing
Lesotho,SE,Africa,Southern Africa,55,3,3,white,darkblue,white,South African rand,Lesotho loti,English,Sotho,Roman Catholic,Protestant Christianity,2330318.0,76.7562,Low,30355.0,30360.0,0.01062,0.514,198.7985,Developing
Liberia,NW,Africa,Western Africa,60,4,3,firebrick,white,white,Liberian dollar,Liberian dollar,English,English,Christianity,Islam,5418377.0,56.2539,Low,111369.0,96320.0,0.02182,0.481,145.6976,Developing
Libya,NE,Africa,Northern Africa,70,2,3,black,seagreen,black,Libyan dinar,Libyan dinar,Arabic,Arabic,Islam,Islam,6888388.0,3.9149,High,1759540.0,1759540.0,0.01116,0.718,10.1395,Developing
Liechtenstein,NE,Europe,Western Europe,80,1,2,crimson,midnightblue,crimson,Swiss franc,Swiss franc,German,German,Christianity,Islam,39584.0,247.4,Very High,160.0,160.0,0.00654,0.935,640.766,Developed
Lithuania,NE,Europe,Northern Europe,75,1,3,firebrick,darkslategray,firebrick,Euro,Euro,Lithuanian,Lithuanian,Christianity,Christian,2718352.0,43.4103,Very High,65300.0,62620.0,-0.01153,0.875,112.4326,Developed
Luxembourg,NE,Europe,Western Europe,80,1,3,white,crimson,white,Euro,Euro,French,German,Christianity,Christian,654768.0,254.3282,Very High,2586.0,2574.5,0.01107,0.93,658.7101,Developed
Macau,NE,Asia,Eastern Asia,85,1,2,teal,white,white,Macanese pataca,Macanese pataca,Portuguese,Chinese,Other,Other,704149.0,21402.7052,Other,32.9,32.9,0.01292,0.0,55433.0064,Developing
Madagascar,SE,Africa,Eastern Africa,65,3,3,white,forestgreen,white,Malagasy ariary,Malagasy ariary,French,Malagasy,Christianity,Islam,30325732.0,52.124,Low,587041.0,581800.0,0.02411,0.501,135.0011,Developing
Malawi,SE,Africa,Eastern Africa,65,3,3,crimson,forestgreen,crimson,Malawian kwacha,Malawian kwacha,English,Chewa,Christianity,Islam,20931751.0,222.0169,Low,118484.0,94280.0,0.0258,0.512,575.0237,Developing
Malaysia,NE,Asia,South-Eastern Asia,75,1,3,white,red,white,Malaysian ringgit,Malaysian ringgit,English,Malay,Christianity,Hinduism,34308525.0,104.4241,Very High,330803.0,328550.0,0.01091,0.803,270.4583,Developed
Maldives,NE,Asia,Southern Asia,80,1,2,crimson,forestgreen,crimson,Maldivian rufiyaa,Maldivian rufiyaa,Maldivian,Maldivian,Sunni Islam,Sunni Islam,521021.0,1736.7367,High,300.0,300.0,-0.00528,0.747,4498.148,Developing
Mali,NW,Africa,Western Africa,60,6,3,gold,limegreen,crimson,West African CFA franc,West African CFA franc,French,French,Islam,Islam,23293698.0,19.0902,Low,1240192.0,1220190.0,0.03099,0.428,49.4437,Developing
Malta,NE,Europe,Southern Europe,80,1,2,crimson,white,white,Euro,Euro,English,Maltese,Christianity,Islam,535064.0,1672.075,Very High,316.0,320.0,0.00333,0.918,4330.6743,Developed
Marshall Islands,NE,Oceania,Micronesia,65,4,3,midnightblue,white,white,United States dollar,United States dollar,English,Marshallese,Christianity,Christian,41996.0,233.3111,Medium,181.0,180.0,0.01027,0.639,604.2758,Developing
Martinique,NW,Americas,Caribbean,0,0,2,darkslateblue,white,white,Euro,Euro,French,French,Christianity,Islam,366981.0,325.3378,Other,1128.0,1128.0,-0.00143,0.0,842.6248,Developing
Mauritania,NW,Africa,Western Africa,65,4,2,darkgreen,crimson,crimson,Mauritanian ouguiya,Mauritanian ouguiya,Arabic,Arabic,Sunni Islam,Sunni Islam,4862989.0,4.7181,Medium,1030700.0,1030700.0,0.02678,0.556,12.22,Developing
Mauritius,SE,Africa,Eastern Africa,75,1,4,midnightblue,crimson,crimson,Mauritian rupee,Mauritian rupee,English,French,Christianity,Islam,1300557.0,640.6685,Very High,2040.0,2030.0,0.00084,0.802,1659.3313,Developed
Mayotte,SE,Africa,Eastern Africa,0,0,3,white,gainsboro,white,Euro,Euro,French,French,Other,Other,335995.0,898.3824,Other,374.0,374.0,0.03034,0.0,2326.8103,Developing
Mexico,NW,Americas,North America,70,1,3,darkslategray,crimson,white,Mexican peso,Mexican peso,Spanish,Spanish,Christianity,Catholicism,128455567.0,66.0797,High,1964375.0,1943950.0,0.00746,0.758,171.1463,Developing
Micronesia,NE,Oceania,Micronesia,70,2,1,cornflowerblue,cornflowerblue,cornflowerblue,United States dollar,United States dollar,English,English,Other,Other,115224.0,164.6057,Medium,702.0,700.0,0.00929,0.628,426.3288,Developing
Moldova,NE,Europe,Eastern Europe,70,1,3,crimson,teal,crimson,Moldovan leu,Moldovan leu,Romanian,Romanian,Christianity,Christian,3435931.0,104.4845,High,33846.0,32884.6,0.04978,0.767,270.6149,Developing
Monaco,NE,Europe,Western Europe,0,0,2,crimson,white,white,Euro,Euro,French,French,Christianity,Christian,36297.0,18148.5,not rated,2.02,2.0,-0.00472,0.0,47004.615,Developing
Mongolia,NE,Asia,Eastern Asia,70,2,3,crimson,darkcyan,crimson,Mongolian togrog,Mongolian togrog,Mongolian,Mongolian,Christianity,Islam,3447157.0,2.2133,High,1564110.0,1557506.8,0.01436,0.739,5.7323,Developing
Montenegro,NE,Europe,Southeast Europe,75,1,2,firebrick,goldenrod,firebrick,Euro,Euro,Montenegrin,Montenegrin,Christianity,Islam,626485.0,46.5788,Very High,13812.0,13450.0,-0.00095,0.832,120.6391,Developed
Montserrat,NW,Americas,Caribbean,0,0,3,midnightblue,snow,crimson,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Other,Other,4386.0,43.0,Other,102.0,102.0,-0.00091,0.0,111.37,Developing
Morocco,NW,Africa,Northern Africa,75,2,1,firebrick,firebrick,firebrick,Moroccan dirham,Moroccan dirham,Arabic,Berber,Islam,Sunni,37840044.0,84.7861,Medium,446550.0,446300.0,0.0102,0.683,219.596,Developing
Mozambique,SE,Africa,Eastern Africa,60,4,4,gold,teal,crimson,Mozambican metical,Mozambican metical,Portuguese,Portuguese,Christianity,Islam,33897354.0,43.1056,Low,801590.0,786380.0,0.02814,0.446,111.6434,Developing
Myanmar,NE,Asia,South-Eastern Asia,65,2,4,gold,crimson,white,Burmese kyat,Burmese kyat,Burmese,Burmese,Christianity,Islam,54577997.0,83.6227,Medium,676578.0,652670.0,0.00736,0.585,216.5827,Developing
Namibia,SE,Africa,Southern Africa,60,3,4,forestgreen,midnightblue,white,South African rand,Namibian dollar,English,German,Christianity,Christian,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Nauru,SE,Oceania,Micronesia,0,0,2,midnightblue,gold,gold,Australian dollar,Australian dollar,English,Nauru,Other,Other,12780.0,639.0,not rated,21.0,20.0,0.00884,0.0,1655.01,Developing
Nepal,NE,Asia,Southern Asia,70,2,3,white,crimson,white,Nepalese rupee,Nepalese rupee,Nepali,Nepali,Christianity,Islam,30896590.0,215.5325,Medium,147181.0,143350.0,0.01143,0.602,558.2293,Developing
Netherlands,NE,Europe,Western Europe,80,1,3,darkslateblue,firebrick,white,Euro,Euro,Dutch,Dutch,Christianity,Islam,17618299.0,523.264,Very High,41850.0,33670.0,0.00309,0.941,1355.2538,Developed
New Caledonia,SE,Oceania,Melanesia,80,2,4,forestgreen,mediumblue,gold,CFP franc,CFP franc,French,French,Other,Other,292991.0,16.028,Other,18575.0,18280.0,0.01049,0.0,41.5124,Developing
New Zealand,SE,Oceania,Australia and New Zealand,80,1,3,midnightblue,crimson,white,New Zealand dollar,New Zealand dollar,English,Maori,Christianity,Islam,5228100.0,19.8553,Very High,270467.0,263310.0,0.00826,0.937,51.4252,Developed
Nicaragua,NW,Americas,Central America,70,2,2,darkcyan,white,white,Nicaraguan cordoba,Nicaraguan cordoba,Spanish,Spanish,Christianity,Christian,7046310.0,58.5533,Medium,130373.0,120340.0,0.01409,0.667,151.6532,Developing
Niger,NE,Africa,Western Africa,60,6,3,orangered,forestgreen,white,West African CFA franc,West African CFA franc,French,French,Christianity,Islam,27202843.0,21.4754,Low,1267000.0,1266700.0,0.03796,0.4,55.6212,Developing
Nigeria,NE,Africa,Western Africa,50,5,2,seagreen,white,white,Nigerian naira,Nigerian naira,English,English,Other,Other,223804632.0,245.7312,Low,923768.0,910770.0,0.02408,0.535,636.4439,Developing
Niue,SW,Oceania,Polynesia,0,0,4,gold,white,white,New Zealand dollar,New Zealand dollar,English,Niuean,Christianity,Christianity,1935.0,7.4138,Other,261.0,261.0,0.00052,0.0,19.2017,Developing
Norfolk Island,SE,Oceania,Australia and New Zealand,0,0,2,forestgreen,white,white,Australian dollar,Australian dollar,English,Norfuk,Christianity,Irreligion,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
North Korea,NE,Asia,Eastern Asia,75,1,3,crimson,teal,white,North Korean won,North Korean won,Korean,Korean,Christianity,Buddhism,26160821.0,217.2645,not rated,120538.0,120410.0,0.00351,0.0,562.7151,Developing
North Macedonia,NE,Europe,Southeast Europe,75,1,2,crimson,gold,crimson,denar,denar,Macedonian,Macedonian,Christianity,Islam,2085679.0,82.6994,High,25713.0,25220.0,-0.00378,0.77,214.1915,Developing
Northern Mariana Islands,NE,Oceania,Micronesia,0,0,2,darkcyan,white,white,United States dollar,United States dollar,English,Chamorro,Christianity,Islam,49796.0,108.2522,Other,464.0,460.0,0.00494,0.0,280.3731,Developing
Norway,NE,Europe,Northern Europe,85,1,3,crimson,midnightblue,white,Norwegian krone,Norwegian krone,Norwegian Nynorsk,Norwegian Bokmal,Christianity,Islam,5474360.0,15.0277,Very High,323802.0,364285.0,0.00737,0.961,38.9217,Developed
Oman,NE,Asia,Western Asia,75,2,3,crimson,white,white,Omani rial,Omani rial,Arabic,Arabic,Christianity,Islam,4644384.0,15.0061,Very High,309500.0,309500.0,0.01488,0.816,38.8658,Developed
Pakistan,NE,Asia,Southern Asia,65,3,2,darkgreen,white,white,Pakistani rupee,Pakistani rupee,English,Urdu,Christianity,Islam,240485658.0,311.9625,Low,881912.0,770880.0,0.01976,0.544,807.9829,Developing
Palau,NE,Oceania,Micronesia,70,2,2,dodgerblue,yellow,dodgerblue,United States dollar,United States dollar,English,Palauan,Christianity,Islam,18058.0,39.2565,High,459.0,460.0,0.00017,0.767,101.6744,Developing
Palestine,NE,Asia,Western Asia,75,3,4,black,forestgreen,white,Egyptian pound,Israeli new shekel,Arabic,Arabic,Other,Other,5371230.0,892.2309,High,6220.0,6020.0,0.02308,0.715,2310.878,Developing
Panama,NW,Americas,Central America,75,2,3,white,midnightblue,white,United States dollar,Panamanian balboa,Spanish,Spanish,Christianity,Christian,4468087.0,60.233,Very High,75417.0,74180.0,0.0135,0.805,156.0036,Developed
Papua New Guinea,SE,Oceania,Melanesia,65,3,2,black,crimson,crimson,Papua New Guinean kina,Papua New Guinean kina,English,Hiri Motu,Christianity,Christian,10329931.0,22.8104,Medium,462840.0,452860.0,0.01847,0.558,59.079,Developing
Paraguay,SW,Americas,South America,75,2,3,firebrick,darkblue,white,Paraguayan guarani,Paraguayan guarani,Spanish,Guarani,Christianity,Christian,6861524.0,17.2704,High,406752.0,397300.0,0.01191,0.717,44.7303,Developing
Peru,SW,Americas,South America,75,2,2,crimson,white,white,Peruvian sol,Peruvian sol,Spanish,Aymara,Christianity,Christian,34352719.0,26.8381,High,1285216.0,1280000.0,0.0089,0.762,69.5106,Developing
Philippines,NE,Asia,South-Eastern Asia,70,2,3,darkblue,crimson,white,Philippine peso,Philippine peso,English,Filipino,Christianity,Islam,117337368.0,393.5251,Medium,342353.0,298170.0,0.01539,0.699,1019.2299,Developing
Pitcairn Islands,SW,Oceania,Polynesia,0,0,3,midnightblue,crimson,white,New Zealand dollar,New Zealand dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Poland,NE,Europe,Central Europe,75,1,2,crimson,white,white,Polish zoty,Polish zoty,Polish,Polish,Christianity,Christian,41026067.0,134.0152,Very High,312679.0,306130.0,0.02933,0.876,347.0993,Developed
Portugal,NW,Europe,Southern Europe,80,1,2,red,darkgreen,red,Euro,Euro,Portuguese,Portuguese,Christianity,Christian,10247605.0,111.8666,Very High,92090.0,91605.6,-0.00227,0.866,289.7344,Developed
Puerto Rico,NW,Americas,Caribbean,80,0,3,red,white,white,United States dollar,United States dollar,English,Spanish,Other,Other,3260314.0,367.5664,Other,8870.0,8870.0,0.00243,0.0,951.997,Developing
Qatar,NE,Asia,Western Asia,80,1,2,brown,white,white,Qatari riyal,Qatari riyal,Arabic,Arabic,Christianity,Islam,2716391.0,236.4135,Very High,11586.0,11490.0,0.00789,0.855,612.3109,Developed
Republic of the Congo,SE,Africa,Middle Africa,65,4,3,crimson,forestgreen,crimson,Central African CFA franc,Central African CFA franc,French,Kikongo,Christianity,Islam,6106869.0,17.8825,Medium,342000.0,341500.0,0.02285,0.571,46.3156,Developing
Reunion,SE,Africa,Eastern Africa,0,0,3,royalblue,red,red,Euro,Euro,French,French,Other,Other,981796.0,390.8424,Other,2511.0,2512.0,0.00795,0.0,1012.2817,Developing
Romania,NE,Europe,Southeast Europe,75,1,3,midnightblue,crimson,crimson,Romanian leu,Romanian leu,Romanian,Romanian,Christianity,Christian,19892812.0,86.4604,Very High,238391.0,230080.0,0.01188,0.821,223.9325,Developed
Russia,NE,Europe,Eastern Europe,70,1,3,white,darkblue,white,Russian ruble,Russian ruble,Russian,Russian,Christianity,Islam,144444359.0,8.82,Very High,17098242.0,16376870.0,-0.00186,0.829,22.8439,Developed
Rwanda,SE,Africa,Eastern Africa,65,3,3,deepskyblue,darkslategray,gold,Rwandan franc,Rwandan franc,English,French,Christianity,Islam,14094683.0,571.3289,Low,26338.0,24670.0,0.02308,0.534,1479.7417,Developing
Saint Barthelemy,NW,Americas,Caribbean,0,0,2,white,goldenrod,white,Euro,Euro,French,French,Other,Other,10994.0,439.76,Other,21.0,25.0,0.00246,0.0,1138.9784,Developing
Saint Helena - Ascension and Tristan da Cunha,SW,Africa,Western Africa,0,0,3,midnightblue,crimson,white,Saint Helena pound,Pound sterling,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Saint Kitts and Nevis,NW,Americas,Caribbean,70,2,4,black,seagreen,crimson,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Christian,47755.0,183.6731,High,261.0,260.0,0.00206,0.777,475.7133,Developing
Saint Lucia,NW,Americas,Caribbean,75,1,2,lightskyblue,gold,gold,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Rastafari,180251.0,295.4934,High,616.0,610.0,0.00219,0.715,765.328,Developing
Saint Martin,NE,Americas,Caribbean,80,2,3,crimson,white,white,Euro,Euro,French,French,Other,Other,32077.0,641.54,Other,53.0,50.0,0.009,0.0,1661.5886,Developing
Saint Pierre and Miquelon,NW,Americas,North America,0,0,5,lightseagreen,gold,white,Euro,Euro,French,French,Other,Other,5840.0,24.1322,Other,242.0,242.0,-0.00375,0.0,62.5025,Developing
Saint Vincent and the Grenadines,NW,Americas,Caribbean,70,1,3,gold,forestgreen,gold,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Islam,103698.0,265.8923,Other,389.0,390.0,-0.00241,0.751,688.6611,Developing
Samoa,SW,Oceania,Polynesia,70,3,2,crimson,midnightblue,crimson,Samoan tala,Samoan tala,English,Samoan,Christianity,Christian,225681.0,81.1802,High,2842.0,2780.0,0.01484,0.707,210.2568,Developing
San Marino,NE,Europe,Southern Europe,0,1,2,white,cornflowerblue,white,Euro,Euro,Italian,Italian,Christianity,Catholicism,33642.0,560.7,Very High,61.0,60.0,-0.00054,0.853,1452.213,Developed
Sao Tome and Principe,NE,Africa,Middle Africa,65,3,3,forestgreen,gold,crimson,Sao Tome and Principe dobra,Sao Tome and Principe dobra,Portuguese,Portuguese,Christianity,Folk religions,231856.0,241.5167,Medium,964.0,960.0,0.01969,0.618,625.5282,Developing
Saudi Arabia,NE,Asia,Western Asia,75,2,2,forestgreen,white,white,Saudi riyal,Saudi riyal,Arabic,Arabic,Christianity,Islam,36947025.0,17.1871,Very High,2149690.0,2149690.0,0.01478,0.875,44.5147,Developed
Senegal,NW,Africa,Western Africa,70,4,3,forestgreen,crimson,crimson,West African CFA franc,West African CFA franc,French,French,Christianity,Islam,17763163.0,92.2618,Low,196722.0,192530.0,0.0258,0.511,238.958,Developing
Serbia,NE,Europe,Southeast Europe,75,1,3,white,firebrick,white,Serbian dinar,Serbian dinar,Serbian,Serbian,Christianity,Islam,7149077.0,81.7411,Very High,88361.0,87460.0,-0.01001,0.802,211.7095,Developed
Seychelles,SE,Africa,Eastern Africa,75,2,5,crimson,midnightblue,white,Seychellois rupee,Seychellois rupee,English,French,Christianity,Islam,107660.0,234.0435,High,452.0,460.0,0.00506,0.785,606.1726,Developing
Sierra Leone,NW,Africa,Western Africa,60,4,3,darkcyan,limegreen,white,Sierra Leonean leone,Sierra Leonean leone,English,English,Christianity,Islam,8791092.0,121.794,Low,71740.0,72180.0,0.02154,0.477,315.4465,Developing
Singapore,NE,Asia,South-Eastern Asia,85,1,2,white,crimson,white,Singapore dollar,Singapore dollar,English,Chinese,Christianity,Islam,6014723.0,8377.0515,Very High,710.0,718.0,0.00653,0.939,21696.5635,Developed
Sint Maarten,NW,Americas,Caribbean,80,2,3,crimson,midnightblue,white,Netherlands Antillean guilder,Netherlands Antillean guilder,English,French,Christianity,Christian,44222.0,1300.6471,Other,34.0,34.0,0.00106,0.0,3368.6759,Developing
Slovakia,NE,Europe,Central Europe,75,1,3,crimson,white,white,Euro,Euro,Slovak,Slovak,Christianity,Christian,5795199.0,118.1849,Very High,49037.0,49035.0,0.02689,0.848,306.099,Developed
Slovenia,NE,Europe,Central Europe,80,1,3,dodgerblue,red,white,Euro,Euro,Slovene,Slovene,Christianity,Christian,2119675.0,105.2658,Very High,20273.0,20136.4,-8e-05,0.918,272.6385,Developed
Solomon Islands,SE,Oceania,Melanesia,70,4,3,darkslategray,teal,gold,Solomon Islands dollar,Solomon Islands dollar,English,English,Christianity,Christian,740424.0,26.4532,Medium,28896.0,27990.0,0.0223,0.564,68.5137,Developing
Somalia,NE,Africa,Eastern Africa,55,6,1,royalblue,royalblue,royalblue,Somali shilling,Somali shilling,Arabic,Somali,Sunni Islam,Sunni Islam,18143378.0,28.9211,not rated,637657.0,627340.0,0.03102,0.0,74.9057,Developing
South Africa,SE,Africa,Southern Africa,65,2,5,seagreen,crimson,white,South African rand,South African rand,English,Tswana,Christianity,Islam,60414495.0,49.8022,High,1221037.0,1213090.0,0.00869,0.713,128.9876,Developing
South Georgia,SW,Antarctic,Other,0,0,3,midnightblue,white,white,Saint Helena pound,Saint Helena pound,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
South Korea,NE,Asia,Eastern Asia,85,0,4,white,black,white,South Korean won,South Korean won,Korean,Korean,Christianity,Buddhism,51784059.0,530.5744,Very High,100210.0,97600.0,-0.00061,0.925,1374.1876,Developed
South Sudan,NE,Africa,Middle Africa,55,4,5,black,forestgreen,white,South Sudanese pound,South Sudanese pound,English,English,Christianity,Islam,11088796.0,17.5475,Low,619745.0,631930.0,0.01609,0.385,45.448,Developing
Spain,NW,Europe,Southern Europe,80,1,2,firebrick,gold,gold,Euro,Euro,Spanish,Spanish,Christianity,Christianity,47519628.0,95.1236,Very High,505992.0,499556.6,-0.00082,0.905,246.3702,Developed
Sri Lanka,NE,Asia,Southern Asia,75,2,4,goldenrod,brown,darkslategray,Sri Lankan rupee,Sri Lankan rupee,Tamil,Sinhala,Christianity,Islam,21893579.0,353.9214,High,65610.0,61860.0,0.00281,0.782,916.6565,Developing
Sudan,NE,Africa,Northern Africa,65,4,4,black,crimson,white,Sudanese pound,Sudanese pound,English,Arabic,Christianity,Islam,48109006.0,25.7543,Low,1886068.0,1868000.0,0.02634,0.508,66.7036,Developing
Suriname,NW,Americas,South America,70,2,3,seagreen,firebrick,white,Surinamese dollar,Surinamese dollar,Dutch,Dutch,Christianity,Islam,623236.0,3.9951,High,163820.0,156000.0,0.00841,0.73,10.3473,Developing
Svalbard and Jan Mayen,NE,Europe,Northern Europe,0,0,3,crimson,midnightblue,white,krone,krone,Norwegian,Norwegian,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Sweden,NE,Europe,Northern Europe,80,1,2,darkcyan,gold,gold,Swedish krona,Swedish krona,Swedish,Swedish,Christianity,Islam,10612086.0,26.0558,Very High,450295.0,407283.5,0.00595,0.947,67.4844,Developed
Switzerland,NE,Europe,Western Europe,85,1,2,red,white,white,Swiss franc,Swiss franc,French,Italian,Christianity,Islam,8796669.0,222.6103,Very High,41284.0,39516.0,0.00643,0.962,576.5607,Developed
Syria,NE,Asia,Western Asia,70,2,3,black,crimson,white,Syrian pound,Syrian pound,Arabic,Arabic,Christianity,Islam,23227014.0,126.4881,Medium,185180.0,183630.0,0.0498,0.577,327.6042,Developing
Taiwan,NE,Asia,Eastern Asia,0,0,2,red,darkblue,red,New Taiwan dollar,New Taiwan dollar,Chinese,Chinese,Christianity,Buddhism,23923276.0,660.9188,Other,36193.0,36197.0,0.00125,0.0,1711.7796,Developing
Tajikistan,NE,Asia,Central Asia,65,3,3,white,red,white,Tajikistani somoni,Tajikistani somoni,Russian,Tajik,Christianity,Islam,10143543.0,73.0855,Medium,143100.0,138790.0,0.01917,0.685,189.2916,Developing
Tanzania,SE,Africa,Eastern Africa,65,4,4,black,limegreen,gold,Tanzanian shilling,Tanzanian shilling,English,Swahili,Christianity,Islam,67438106.0,76.1324,Low,945087.0,885800.0,0.02963,0.549,197.183,Developing
Thailand,NE,Asia,South-Eastern Asia,80,1,3,darkslategray,brown,darkslategray,Thai baht,Thai baht,Thai,Thai,Christianity,Islam,71801279.0,140.5416,Very High,513120.0,510890.0,0.00145,0.8,364.0026,Developed
Timor-Leste,SE,Asia,South-Eastern Asia,70,3,3,crimson,black,crimson,United States dollar,United States dollar,Portuguese,Tetum,Christianity,Islam,1360596.0,91.4994,Other,14874.0,14870.0,0.01439,0.607,236.9834,Developing
Togo,NE,Africa,Western Africa,60,4,3,darkslategray,gold,crimson,West African CFA franc,West African CFA franc,French,French,Christianity,Islam,9053799.0,166.4607,Low,56785.0,54390.0,0.02318,0.539,431.1333,Developing
Tokelau,SW,Oceania,Polynesia,0,0,2,midnightblue,gold,gold,New Zealand dollar,New Zealand dollar,English,Samoan,Other,Other,1893.0,189.3,Other,12.0,10.0,0.01176,0.0,490.287,Developing
Tonga,SW,Oceania,Polynesia,70,3,2,firebrick,white,white,Tongan paanga,Tongan paanga,English,Tongan,Christianity,Christian,107773.0,149.6847,High,747.0,720.0,0.00856,0.745,387.6834,Developing
Trinidad and Tobago,NE,Americas,Caribbean,75,1,3,crimson,black,white,Trinidad and Tobago dollar,Trinidad and Tobago dollar,English,English,Christianity,Islam,1534937.0,299.208,Very High,5130.0,5130.0,0.00254,0.81,774.9487,Developed
Tunisia,NE,Africa,Northern Africa,75,2,2,red,white,white,Tunisian dinar,Tunisian dinar,Arabic,Arabic,Sunni Islam,Christians,12458223.0,80.1894,High,163610.0,155360.0,0.00826,0.731,207.6905,Developing
Turkey,NE,Asia,Western Asia,75,1,1,red,red,red,Turkish lira,Turkish lira,Turkish,Turkish,religion in Turkey,religion in Turkey,85816199.0,109.5206,Very High,783562.0,783562.0,0.00557,0.838,283.6584,Developed
Turkmenistan,NE,Asia,Central Asia,70,2,2,forestgreen,crimson,crimson,Turkmenistan manat,Turkmenistan manat,Russian,Turkmen,Christianity,Islam,6516100.0,13.8661,High,488100.0,469930.0,0.01327,0.745,35.9132,Developing
Turks and Caicos Islands,NW,Americas,Caribbean,75,1,3,midnightblue,crimson,white,United States dollar,United States dollar,English,English,Other,Other,46062.0,48.5886,Other,948.0,948.0,0.00786,0.0,125.8445,Developing
Tuvalu,SE,Oceania,Polynesia,65,3,4,lightseagreen,crimson,white,Australian dollar,Tuvaluan dollar,English,Tuvaluan,Christianity,Christianity,11396.0,379.8667,Medium,26.0,30.0,0.00743,0.641,983.8547,Developing
Uganda,NE,Africa,Eastern Africa,60,4,3,gold,black,gold,Ugandan shilling,Ugandan shilling,English,Swahili,Christianity,Islam,48582334.0,242.2817,Low,241550.0,200520.0,0.02821,0.525,627.5097,Developing
Ukraine,NE,Europe,Eastern Europe,70,1,2,darkcyan,gold,gold,Ukrainian hryvnia,Ukrainian hryvnia,Ukrainian,Ukrainian,Christianity,Christianity,36744634.0,63.4184,High,603500.0,579400.0,-0.07448,0.773,164.2537,Developing
United Arab Emirates,NE,Asia,Western Asia,80,1,4,red,forestgreen,white,United Arab Emirates dirham,United Arab Emirates dirham,Arabic,Arabic,Sunni Islam,Sunni Islam,9516871.0,134.0027,Very High,83600.0,71020.0,0.00802,0.911,347.067,Developed
United Kingdom,NW,Europe,Northern Europe,80,1,3,crimson,white,white,British pound,British pound,English,English,Christianity,Islam,67736802.0,279.9851,Very High,242900.0,241930.0,0.00338,0.929,725.1615,Developed
United States,NW,Americas,North America,75,1,3,firebrick,white,white,United States dollar,United States dollar,English,English,Christianity,Islam,339996563.0,37.1686,Very High,9372610.0,9147420.0,0.00505,0.921,96.2666,Developed
United States Minor Outlying Islands,NE,Americas,North America,0,0,3,firebrick,white,white,United States dollar,United States dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
United States Virgin Islands,NW,Americas,Caribbean,80,2,2,white,sandybrown,white,United States dollar,United States dollar,English,English,Christianity,Christianity,98750.0,284.5821,Other,347.0,347.0,-0.00719,0.0,737.0677,Developing
Uruguay,SW,Americas,South America,80,1,2,white,darkblue,white,Uruguayan peso,Uruguayan peso,Spanish,Spanish,Christianity,Christian,3423108.0,19.5584,Very High,181034.0,175020.0,9e-05,0.809,50.6562,Developed
Uzbekistan,NE,Asia,Central Asia,70,2,3,white,limegreen,white,Uzbekistani som,Uzbekistani som,Russian,Uzbek,Christianity,Islam,35163944.0,79.8002,High,447400.0,440650.0,0.01549,0.727,206.6824,Developing
Vanuatu,SE,Oceania,Melanesia,70,3,4,forestgreen,crimson,crimson,Vanuatu vatu,Vanuatu vatu,English,French,Christianity,Catholicism,334506.0,27.441,Medium,12189.0,12190.0,0.02377,0.607,71.0722,Developing
Vatican City,NE,Europe,Southern Europe,0,0,2,gold,white,white,Euro,Euro,Italian,Latin,Roman Catholicism,State religion,518.0,1177.2727,Other,0.44,0.44,0.01569,0.0,3049.1364,Developing
Venezuela,NW,Americas,South America,70,2,3,gold,crimson,crimson,Venezuelan bolivar soberano,Venezuelan bolivar soberano,Spanish,Spanish,Christianity,Protestantism,28838499.0,32.6949,Medium,916445.0,882050.0,0.01897,0.691,84.6797,Developing
Vietnam,NE,Asia,South-Eastern Asia,75,1,2,crimson,yellow,crimson,Vietnamese ong,Vietnamese ong,Vietnamese,Vietnamese,Christianity,Buddhism,98858950.0,315.411,High,331212.0,313429.0,0.00685,0.703,816.9145,Developing
Wallis and Futuna,SW,Oceania,Polynesia,0,0,2,crimson,white,white,CFP franc,CFP franc,French,French,Other,Other,11502.0,41.9781,Other,274.0,274.0,-0.00605,0.0,108.7233,Developing
Western Sahara,NW,Africa,Northern Africa,0,0,4,black,forestgreen,white,Algerian dinar,Moroccan dirham,Spanish,Berber,Other,Other,587259.0,2.2077,Other,266000.0,266000.0,0.01957,0.0,5.718,Developing
