country_or_territory,zone,region,subregion,life_expectancy,fertility_rate,num_colors,primary_color,secondary_color,most_ranked_color,currency_primary,currency_secondary,languages_primary,languages_secondary,religion_primary,religion_secondary,pop2023,density,hdiTier,area,landAreaKm,growthRate,hdi2021,densityMi,country_or_territory_status
Bosnia and Herzegovina,NE,Europe,Southeast Europe,75,1,2,darkblue,gold,gold,Bosnia and Herzegovina convertible mark,Bosnia and Herzegovina convertible mark,Serbian,Croatian,Christianity,Islam,3210847.0,62.7119,High,51209.0,51200.0,-0.00701,0.78,162.4237,Developing
Botswana,SE,Africa,Southern Africa,65,2,3,cornflowerblue,black,white,Botswana pula,Botswana pula,English,Tswana,Christianity,Christian,2675352.0,4.7207,Medium,582000.0,566730.0,0.01713,0.693,12.2266,Developing
Bouvet Island,NE,Antarctic,Other,0,0,3,crimson,midnightblue,white,Other,Other,Norwegian,Norwegian,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Brazil,SW,Americas,South America,75,1,3,forestgreen,gold,gold,Brazilian real,Brazilian real,Portuguese,Portuguese,Christianity,Christian,216422446.0,25.8936,High,8515767.0,8358140.0,0.00515,0.754,67.0645,Developing
British Indian Ocean Territory,SE,Africa,Eastern Africa,0,0,3,white,midnightblue,white,United States dollar,United States dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
British Virgin Islands,NW,Americas,Caribbean,75,0,3,midnightblue,white,white,United States dollar,United States dollar,English,English,Other,Other,31538.0,210.2533,Other,151.0,150.0,0.00744,0.0,544.5561,Developing
Brunei,NE,Asia,South-Eastern Asia,75,1,3,gold,white,white,Singapore dollar,Brunei dollar,Malay,Malay,Christianity,Buddhism,452524.0,85.8679,Very High,5765.0,5270.0,0.00784,0.829,222.3979,Developed
Bulgaria,NE,Europe,Southeast Europe,75,1,3,teal,white,white,Bulgarian lev,Bulgarian lev,Bulgarian,Bulgarian,Christianity,Islam,6687717.0,61.6039,High,110879.0,108560.0,-0.0139,0.795,159.554,Developing
Burkina Faso,NW,Africa,Western Africa,60,4,2,seagreen,crimson,crimson,West African CFA franc,West African CFA franc,French,French,Christianity,Islam,23251485.0,84.9835,Low,272967.0,273600.0,0.02548,0.449,220.1073,Developing
Burundi,SE,Africa,Eastern Africa,60,5,3,white,limegreen,white,Burundian franc,Burundian franc,French,Kirundi,Christianity,Islam,13238559.0,515.5202,Low,27834.0,25680.0,0.02708,0.426,1335.1973,Developing
Cambodia,NE,Asia,South-Eastern Asia,70,2,3,darkblue,crimson,white,United States dollar,Cambodian riel,Khmer,Khmer,Christianity,Islam,16944826.0,95.9938,Medium,181035.0,176520.0,0.01056,0.593,248.6239,Developing
Cameroon,NE,Africa,Middle Africa,60,4,3,gold,teal,crimson,Central African CFA franc,Central African CFA franc,English,French,Christianity,Islam,28647293.0,60.6023,Medium,475442.0,472710.0,0.02625,0.576,156.9598,Developing
Canada,NW,Americas,North America,80,1,2,red,white,white,Canadian dollar,Canadian dollar,English,French,Other,Other,38781291.0,4.3256,Very High,9984670.0,8965590.0,0.0085,0.936,11.2032,Developed
Cape Verde,NE,Africa,Western Africa,75,1,3,midnightblue,white,white,Cape Verdean escudo,Cape Verdean escudo,Portuguese,Portuguese,Christianity,Christian,598682.0,148.4458,Medium,4033.0,4033.0,0.00933,0.662,384.4747,Developing
Caribbean Netherlands,NW,Americas,Caribbean,0,0,3,midnightblue,white,white,United States dollar,United States dollar,English,Dutch,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Cayman Islands,NE,Americas,Caribbean,80,0,3,midnightblue,white,white,Cayman Islands dollar,Cayman Islands dollar,English,English,Christianity,Islam,69310.0,288.7917,Other,264.0,240.0,0.00879,0.0,747.9704,Developing
Central African Republic,NE,Africa,Middle Africa,55,5,5,gold,forestgreen,white,Central African CFA franc,Central African CFA franc,French,Sango,Christianity,Islam,5742315.0,9.2175,Low,622984.0,622980.0,0.02925,0.404,23.8733,Developing
Chad,NE,Africa,Middle Africa,50,6,3,midnightblue,crimson,crimson,Central African CFA franc,Central African CFA franc,French,Arabic,Christianity,Islam,18278568.0,14.516,Low,1284000.0,1259200.0,0.03133,0.394,37.5965,Developing
Chile,SW,Americas,South America,80,1,3,firebrick,white,white,Chilean peso,Chilean peso,Spanish,Spanish,Christianity,Christian,19629590.0,26.4005,Very High,756102.0,743532.0,0.00132,0.855,68.3772,Developed
China,NE,Asia,Eastern Asia,80,1,1,orangered,orangered,orangered,Chinese yuan,Chinese yuan,Chinese,Chinese,Christianity,Islam,1425671352.0,151.2696,High,9706961.0,9424702.9,-0.00015,0.768,391.7884,Developing
Christmas Island,SE,Oceania,Australia and New Zealand,0,0,3,mediumblue,seagreen,seagreen,Australian dollar,Australian dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Cocos (Keeling) Islands,NE,Oceania,Australia and New Zealand,0,0,2,green,gold,gold,Australian dollar,Australian dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Colombia,NW,Americas,South America,75,1,3,gold,midnightblue,crimson,Colombian peso,Colombian peso,Spanish,Spanish,Christianity,Christian,52085168.0,46.9447,High,1141748.0,1109500.0,0.00407,0.752,121.5868,Developing
Comoros,SE,Africa,Eastern Africa,65,4,5,steelblue,gold,white,Comorian franc,Comorian franc,French,Arabic,Christianity,Sunni Islam,852075.0,457.8587,Medium,1862.0,1861.0,0.01829,0.558,1185.854,Developing
Cook Islands,SW,Oceania,Polynesia,0,0,3,midnightblue,white,white,New Zealand dollar,Cook Islands dollar,English,Cook Islands Maori,Other,Other,17044.0,71.0167,Other,240.0,240.0,0.00194,0.0,183.9332,Developing
Costa Rica,NW,Americas,Central America,80,1,3,white,midnightblue,white,Costa Rican colon,Costa Rican colon,Spanish,Spanish,Christianity,Christian,5212173.0,102.0794,Very High,51100.0,51060.0,0.00605,0.809,264.3856,Developed
Croatia,NE,Europe,Southeast Europe,75,1,3,red,darkblue,white,Euro,Euro,Croatian,Croatian,Christianity,Christian,4008617.0,71.6336,Very High,56594.0,55960.0,-0.00539,0.858,185.5311,Developed
Cuba,NW,Americas,Caribbean,75,1,3,darkblue,white,white,Cuban convertible peso,Cuban peso,Spanish,Spanish,Christianity,Folk religions,11194449.0,107.8463,High,109884.0,103800.0,-0.00158,0.764,279.322,Developing
Curacao,NW,Americas,Caribbean,80,1,2,midnightblue,gold,gold,Netherlands Antillean guilder,Netherlands Antillean guilder,English,Dutch,Christianity,Islam,192077.0,432.6059,Other,444.0,444.0,0.00478,0.0,1120.4492,Developing
Cyprus,NE,Europe,Southern Europe,80,1,2,white,darkgoldenrod,white,Euro,Euro,Greek,Turkish,Christianity,Islam,1260138.0,136.3786,Very High,9251.0,9240.0,0.00691,0.896,353.2205,Developed
Czechia,NE,Europe,Central Europe,80,1,3,crimson,white,white,Czech koruna,Czech koruna,Slovak,Czech,Christianity,Christian,10495295.0,135.9521,Very High,78865.0,77198.5,0.00013,0.889,352.1158,Developed
DR Congo,Equator or Greenwich,Africa,Middle Africa,60,6,3,dodgerblue,crimson,crimson,Congolese franc,Congolese franc,French,Swahili,Christianity,Islam,102262808.0,45.1083,Low,2344858.0,2267050.0,0.03285,0.479,116.8305,Developing
Denmark,NE,Europe,Northern Europe,80,1,2,crimson,white,white,Danish krone,Danish krone,Danish,Danish,Christianity,Islam,5910913.0,147.7728,Very High,43094.0,40000.0,0.00487,0.948,382.7316,Developed
Djibouti,NE,Africa,Eastern Africa,60,2,3,cornflowerblue,forestgreen,white,Djiboutian franc,Djiboutian franc,French,Arabic,Christianity,Islam,1136455.0,49.0274,Low,23200.0,23180.0,0.01392,0.509,126.981,Developing
